#Digilent WaveForms Network Analyzer - Bode
#Device Name: mydevice
#Serial Number: SN:210321AA27F4
#Date Time: 2024-11-14 19:52:24.391
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46142 V
#Offset: 0.000236066 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
593.8882522875714,-0.01892399605442714,-2.500058884300033
619.0102892112237,-0.01957498116713204,-2.606146200634505
645.1950121482167,-0.01901121957846146,-2.715463618804137
672.4873737258538,-0.01896537722725791,-2.829599629766378
700.9342281102546,-0.01942617519098744,-2.946615321363664
730.584411443248,-0.02009421427536246,-3.075364035027569
761.4888256818282,-0.01972660394607809,-3.204134517383331
793.7005259841002,-0.01978322767951892,-3.338508871367736
827.2748117917272,-0.02023018975684718,-3.481486544288799
862.2693217652554,-0.019981328981898,-3.627680951208099
898.7441327352996,-0.020375727031667,-3.781122226505389
936.7618628394459,-0.02093279659899047,-3.940027215169422
976.3877790219507,-0.02054392568992468,-4.107052122125964
1017.68990908078,-0.02173720105188976,-4.279956344560091
1060.73915845434,-0.02128330071388389,-4.459389493265491
1105.609431948401,-0.02168867512825089,-4.649054641765588
1152.377760612186,-0.02176855430802954,-4.845157174063814
1201.124433981432,-0.02261702146532462,-5.051602288266238
1251.93313791547,-0.0218336443746863,-5.262290874704377
1304.891098264931,-0.0225703545488152,-5.483795737481941
1360.089230616743,-0.02264403062800438,-5.716778459127312
1417.622296373483,-0.02359642587958483,-5.959329937166729
1477.589065435017,-0.02336237075020746,-6.209348428493598
1540.092485761756,-0.02500912979601481,-6.473936738708858
1605.239860110578,-0.02395196908858848,-6.744673907742879
1673.14303024685,-0.02497227451238545,-7.030956656928538
1743.918568948799,-0.0260885740837906,-7.328884941282919
1817.687980133853,-0.02572394697579507,-7.640014886766522
1894.577907450499,-0.02703308304145817,-7.965123499484264
1974.720351693797,-0.02738644826513877,-8.300222030095881
2058.252897417765,-0.02766932915441063,-8.653034768185034
2145.318949133678,-0.02816184556698844,-9.01814577924381
2236.067977499791,-0.02936641018670699,-9.39806224167603
2330.655775925117,-0.0299807205995802,-9.798302000890928
2429.244728027779,-0.03035262432811428,-10.21503339880883
2532.004086407124,-0.03182427477307978,-10.64751865296711
2639.110263208136,-0.03160491702969855,-11.10112507155392
2750.747132977031,-0.03354691707692468,-11.5723190753791
2867.106348327898,-0.03458707487711749,-12.0642062249764
2988.38766896236,-0.03624973708449095,-12.58073986268032
3114.799304607086,-0.03779807157486838,-13.11111661587954
3246.558272457852,-0.03947166070893153,-13.67190975567091
3383.890769743857,-0.04096896595215203,-14.25782405456769
3527.032562051862,-0.0422599196365924,-14.86788456109662
3676.229388076776,-0.04415141039761956,-15.5019970739459
3831.737381493625,-0.04720842606178069,-16.17219848656442
3993.823510675062,-0.04970210153459373,-16.86136149053681
4162.766037009368,-0.05294535536729572,-17.5904787314017
4338.854992605741,-0.05702294224901756,-18.34820529997594
4522.392678206958,-0.05890511888524686,-19.14044480949799
4713.694182164233,-0.06070279914811683,-19.96637890091523
4913.087921365179,-0.06591475245626242,-20.83398917293704
5120.916205043567,-0.07242367241196607,-21.73633707269637
5337.53582243876,-0.07575059821016383,-22.68326775095379
5563.318655313677,-0.08739176212857887,-23.6788756827259
5798.652316382892,-0.0888283837771387,-24.71538554997102
6043.940814746816,-0.0974548761987972,-25.80082496810415
6299.605249474367,-0.1188183583936334,-26.93979154915604
6566.084532524903,-0.1153922858435477,-28.13536688399749
6843.836142250362,-0.1261260708304156,-29.37954118384214
7133.336908771306,-0.1430743404447377,-30.69234907190057
7435.083832575129,-0.1648509155796895,-32.06019311793818
7749.594937741685,-0.1884468345587773,-33.50318235507189
8077.410161261253,-0.2044657251526172,-35.01349749731617
8419.092279971408,-0.2273998421606399,-36.59742200014666
8775.227876704274,-0.255786950084167,-38.25962492882105
9146.428347302706,-0.290293882572884,-40.00401259557562
9533.33095023416,-0.3182634878053245,-41.83325149302327
9936.599900604322,-0.3557820076827276,-43.75228253015175
10356.92751044845,-0.4043940258033349,-45.76185145692548
10795.03537725818,-0.461036065241973,-47.86400712044089
11251.6756227842,-0.531814381312009,-50.07623374894119
11727.63218424127,-0.6029839028420978,-52.38332435467254
12223.72216013265,-0.6866120110160588,-54.79598380034531
12740.79721300408,-0.7865130260511395,-57.31668989934406
13279.74503153555,-0.9005361949511247,-59.93781546609393
13841.490854481,-1.029583333674859,-62.6623467046871
14426.99905907214,-1.186027886756494,-65.48888395435286
15037.27481661315,-1.342379434496224,-68.41109585628662
15673.36581810872,-1.531640599506701,-71.430008753469
16336.36407288775,-1.741784355866633,-74.51609300743445
17027.40778331055,-1.976603213093346,-77.69555510603196
17747.68329877786,-2.245510795675862,-80.92284850143267
18498.42715239644,-2.527323479575337,-84.19464946015911
19280.92818379749,-2.845082117341912,-87.50665035213864
20096.52975175224,-3.197082952085564,-90.8370339063847
20946.63204038333,-3.558810449439784,-94.1631720331217
21832.69446293124,-3.961983073348951,-97.48412387327676
22756.23816720202,-4.38917873593314,-100.7679350176664
23718.84864699823,-4.860883269764347,-104.0027229812575
24722.17846401552,-5.329121680978634,-107.1932483036377
25767.95008487826,-5.834472220620532,-110.3197791458616
26857.95883818439,-6.367784325893114,-113.3629696067101
27994.07599663607,-6.914140315405958,-116.3270221575499
29178.25198954741,-7.484027120836493,-119.1933153983899
30412.51975124426,-8.077676005124429,-121.9639658221863
31698.99821110458,-8.670757398292464,-124.6596110103834
33039.89593123081,-9.287468729538809,-127.2386752277229
34437.51489799911,-9.915681548751516,-129.7427151470366
35894.25447399503,-10.55794873904203,-132.1354905321347
37412.61551711941,-11.21067027368859,-134.4458654734677
38995.20467393667,-11.86384931844696,-136.6750279319365
40644.73885463578,-12.53006689709466,-138.8355193118548
42364.04989728618,-13.20225939671494,-140.9039337870638
44156.08942939618,-13.87494025455825,-142.9442153223132
46023.93393512021,-14.55932667158924,-144.8308945113137
47970.79003681312,-15.24751118253965,-146.7081203079106
50000,-15.93641112091724,-148.5167137923314
